event_id,focal_code,focal_name,event_date,specificity,specific_items,text_tokens,sample_question,sample_answer,specificity_z
NONAI00001_000001_20230103,000001,平安银行,2023-01-03,12.820512820512821,5,39,贵公司董秘您好！请问贵司什么时候发布2022年年报？,您好！我行拟于2023年3月披露2022年年度报告，届时请您关注我行相关公告，感谢您对我行的关注。,1.2603150849131284
NONAI00002_000002_20230119,000002,万科Ａ,2023-01-19,3.8461538461538463,2,52,董秘你好：中央经济工作会议提出：支持头部房地产出险企业，像贵司这样的央企国企，是否会响应中央经济会议政策，参与收购泛海控股这样已出险的小民营房地产公司？另经济会议指出；支持房地产企业并购。贵司有无收购泛海控股下的武汉中央商务区的意向！为国分忧，为行业楷模。贵司有无此担当？盼复！,感谢您的关注。公司会持续保持对投资机会的关注，同时保持高质量的投资要求。有关公司新增项目的信息，请以公司公告为准。,-0.24199629324838873
NONAI00003_000004_20230104,000004,ST国华,2023-01-04,18.75,6,32,请问到12月底，股东人数,"尊敬的投资者您好，截至2022年12月30日，公司股东人数为15,491户，感谢您的关注！",2.252913674055559
NONAI00004_000012_20230120,000012,南玻Ａ,2023-01-20,7.100591715976331,12,169,"从公司公告获悉：公司对部分不能满足项目需要的资产计提在建工程减值准备 17,468 万元。\n疑问：尚处于在建的工程就不能满足企业生产要求，需要减值而且数额巨大，给企业造成直接经济损失近2亿。\n请问董秘：公司是否启动追责行动，追究当初不合理、不负责的甚至存在贪腐的涉嫌违法的行为，以挽回公司的经济损失。","您好，“在建工程”不完全是指新建的工程，也包括技术改造项目，技改的项目会从固定资产转入在建工程，技改完成后再转入固定资产，在技改过程中，根据《企业会计准则》的要求对相关资产进行计提减值。根据公司于2022年4月25日披露的《关于计提资产减值准备的公告》显示，清远节能拟对一期电子玻璃生产线进行技改，公司对部分不能满足项目需要的资产计提在建工程减值准备17,468万元。感谢您对公司的关注。",0.30279794278820527
NONAI00005_000016_20230106,000016,深康佳Ａ,2023-01-06,2.3255813953488373,1,43,深康佳A公司子公司重庆光电研究院生产的LED屏幕啥时候能用到康佳的电视屏幕上，听说康佳电视屏幕现在还是采购其他公司的，谢谢董秘回复,你好，谢谢你的关注。目前本公司销售的Mini LED电视使用了重庆康佳光电技术研究院有限公司的产品和技术。,-0.49654074602658593
NONAI00006_000020_20241128,000020,深华发Ａ,2024-11-28,11.538461538461538,3,26,请问公司和华为有合作吗,公司目前没有跟华为公司开展业务合作，感谢您对公司的关注,1.0456991737471972
NONAI00007_000021_20230110,000021,深科技,2023-01-10,2.3255813953488373,1,43,董秘你好，请问网传中电鹏程智能装备有计划上科创板是不是真的，谢谢。,尊敬的投资者，您好！中电鹏程为公司参股子公司，该公司具体情况可参见其官网http://www.cecpie.com。感谢您的关注！,-0.49654074602658593
NONAI00008_000025_20230111,000025,特力Ａ,2023-01-11,10.606060606060606,7,66,您好，按贵司5月31披露的减持公告，此次减持时间结束了吧，不用公告吗，谢谢,尊敬的投资者，您好。公司已收到减持股东的相关函件，并进行了披露，详情可参见公司2022年12月27日披露于巨潮资讯网的有关公告（公告编号：2022-056）。感谢您的关注。,0.8896148747174292
NONAI00009_000027_20230106,000027,深圳能源,2023-01-06,24.0,6,25,您好！请问截至12月20日收盘公司股东人数是多少，谢谢！,"您好，截至2022年12月20日，公司股东人数为160,270。谢谢您的提问。",3.131765830280046
NONAI00010_000029_20230103,000029,深深房Ａ,2023-01-03,0.0,0,23,"请问贵公司现在主营物业管理,还是房地产开发与销售?",感谢您的关注！公司目前主营业务为房地产开发与销售。,-0.8858440267461817
NONAI00011_000030_20230201,000030,富奥股份,2023-02-01,11.764705882352942,6,51,请问什么时候发布2022年度业绩预报?,您好，公司严格执行深圳证券交易所关于业绩预告的相关规定。公司拟于2023年4月20日披露2022年度报告，请您届时关注，谢谢。,1.083572569835303
NONAI00012_000032_20230113,000032,深桑达Ａ,2023-01-13,1.5444015444015444,4,259,今日，两部发布《规划》提出以数字化、智能化技术为基础，开展智能建造与智慧运维基础共性技术和关键核心技术研发与转化应用，促进建筑业与信息产业等业态融合，显著提高建筑工业化、数字化、智能化水平，推进市政公用设施的物联网应用和智能化改造。请问，贵公司在建筑业和智慧城市方面的研发和市场应用怎样？谢谢！,您好，公司是全国领先的工业建筑及洁净室工程系统整体解决方案专业提供商，致力于为高科技产业领域企业提供洁净室工程一站式服务，已先后完成了众多领域的洁净室工程，洁净室净化工程级别最高已达到国际领先标准，在电子信息、生物医药、新能源、新基建等高科技行业的洁净室工程领域技术国内领先，并多次获得中国建设工程鲁班奖、国家优质工程奖等荣誉，是中国工程咨询协会成员单位及电子行业标准、规范的主要编写单位之一，先后参与几十项国家标准编制工作。在智慧城市领域，公司旗下中国系统入选IDC中国数字政府IT解决方案核心厂商、中国政务服务平台市场主要厂商，业务落地超130个城市，感谢关注！,-0.6273105739130911
NONAI00013_000034_20230103,000034,神州数码,2023-01-03,17.391304347826086,4,23,请问12月20日股东人数？,"您好，截止12月20日，公司股东户数为38,139。感谢您的关注",2.025467463852534
NONAI00014_000037_20230111,000037,深南电A,2023-01-11,6.963788300835654,25,359,请问贵公司电厂土地收储有何新进展没？,您好！感谢您对公司的关注。关于您提出的问题，现回复如下：\n公司于2022年8月再次从“深圳政府在线”网站上获悉《深圳市规划和自然资源局关于印发＜深圳市2022年度城市更新和土地整备计划＞的通知》（深规划资源〔2022〕332号），根据该通知内容，前海合作区2022年度土地整备项目中仍包括公司下属的南山热电厂土地收储及相关内容。具体内容详见公司于2022年8月4日在指定信息披露媒体上披露的《关于获悉深圳市规划和自然资源局印发＜深圳市2022年度城市更新和土地整备计划＞的公告》（公告编号：2022-032）。截至目前，公司暂无应披露未披露的工作进展等相关事项，公司将继续关注，及时向相关政府部门反映我司意见和诉求，并根据工作进展情况，在符合信息披露条件时履行必要的信息披露义务。\n公司指定的信息披露媒体为《证券时报》和巨潮资讯网站（http://www.cninfo.com.cn），公司将根据相关工作的进展情况依法依规地履行应尽的信息披露义务，敬请关注公司在指定媒体上披露的公告。,0.2798969949072038
NONAI00015_000039_20230106,000039,中集集团,2023-01-06,4.3478260869565215,2,46,自贵公司上年报首次披露核心人员持股计划至今已近1年。请问该计划是否仍然有效?是否开始实施?若未实施，请问是否存在实施的先决条件或具体时间表?,您好，该计划仍然有效。公司会按规定及时履行信息披露义务，相关信息请以公司公告为准。感谢您对公司的关注！,-0.15801615409650274
NONAI00016_000045_20230113,000045,深纺织Ａ,2023-01-13,2.8735632183908044,15,522,偏光片真正赚钱的是上游原材料，目前这个关键技术主要还是掌握在日本企业手里。更大的问题是偏光片并不是什么好资产了，未来可能是严重的负担，三星在oled已实现了无偏光片技术。为什么公司在这个时候要去接手这种残羹冷炙？民企心里很明白，为什么恒美光电IPO未成功，就急于在半路甩锅？有无存在利益输送腐败等问题？本着对国有资产保值增值的负责态度，强烈建议提请公司上级部门、董事会、纪检部门深入研究后，再做决定。,尊敬的投资者，您好！\n1、根据公司“偏光片+”发展战略，将积极开展与偏光片上游原材料厂商的联合技术攻关，并实施向上游原材料领域的投资布局。公开信息显示，标的公司恒美光电已成功量产2条PMMA膜产线，率先实现向上游关键原材料领域的布局。本次重组有利于公司加快推进产业链一体化发展进程，进一步提升偏光片业务盈利能力。\n2、随着5G、8K和大数据等技术的不断成熟，新型显示产业正迎来新一轮稳步发展阶段。作为显示面板最核心的原材料之一，偏光片产业正迎来国产替代的良好发展机遇，国内偏光片厂商拥有较大的发展空间。标的公司恒美光电在全国各地积极进行产业部署，展现了优越的成长性和创新性，其在产品平均良率、原材料供应链稳定性、核心团队经验以及产品平均成本上具有较大优势。本次重组有助于上市公司优化在偏光片行业的产业链布局、加深技术储备深度，进一步提升上市公司核心竞争力。\n3、无偏光片技术短期内实现替代难度较大，目前主要应用于OLED显示屏，预计大规模替代还需要解决大额新设备资本支出、良率、产量、原材料等多方面的问题，偏光片仍将是LCD和OLED等主流显示产品必不可少的核心材料。\n4、本次重组方案需经董事会、股东大会审议通过，且需国有资产监督管理部门以及证监会等监管机构审批通过。本次重组将秉持合法、合规、专业、审慎原则实施，维护国有资产保值增值与维护公司全体股东的利益高度一致。,-0.40480836378806057
NONAI00017_000048_20230111,000048,京基智农,2023-01-11,13.043478260869565,6,46,公司目前已建成产能多少万头？,您好，公司2022年度累计销售生猪126.44万头，截至2022年年底，公司已交付的育肥场栏位规模约为98.4万头。感谢关注。,1.297639591202855
